check,passed
catalog_node_signatures,True
catalog_version_chain,True
catalog_split_view_rejected,True
catalog_stale_rejected,True
catalog_gap_rejected,True
catalog_tamper_rejected,True
hash_conflict_detected,True
replication_shortfall_detected,True
replication_repair_completed,True
migration_all_shards_valid,True
migration_logical_replay,True
proposal_signature_and_safety,True
one_review_insufficient,True
two_review_promotion,True
duplicate_reviewer_rejected,True
unsafe_proposal_rejected,True
review_rejection_blocks_promotion,True
tampered_review_rejected,True
provenance_dag_valid,True
provenance_cycle_rejected,True
citation_bindings_valid,True
tampered_citation_rejected,True
source_factor_relations_disabled,True
rsa_target_endpoint_disabled,True
factor_candidate_endpoint_disabled,True
range_narrowing_endpoint_disabled,True
